companyid,locationid,state,patientid,procedure_code,production,description,week_start_date,year
V170133,2-Jan,TX,791,FECAL,71.0,FECAL FLOAT (TO IDEXX LAB),2020-06-22,2020
V170133,2-Jan,TX,975,42739999,462.7,IDEXX CANINE BLOODWORK PACKAGE,2020-08-03,2020
V170133,2-Jan,TX,132,I381099,231.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2020-09-28,2020
V170133,2-Jan,TX,346,IL31829,130.0,IDEXX - 4DX + FECAL - COMPREHENSIVE,2020-10-19,2020
V170133,2-Jan,TX,656,IL3808,163.05,IDEXX COMP DIARRHEA PROFILE K9,2020-10-26,2020
V170133,2-Jan,TX,556,27007,161.0,SENIOR PROFILE - IDEXX,2020-11-09,2020
V170133,2-Jan,TX,994,4871999,104.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2020-11-23,2020
V170133,2-Jan,TX,736,2463,53.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2021-01-04,2021
V170133,2-Jan,TX,224,IDEXX5013L,42.75,IDEXX - FECAL DX - TO LAB,2021-01-04,2021
V170133,2-Jan,TX,651,IL22159,88.0,IDEXX PRE-OP PANEL/ADULT PANEL,2021-03-22,2021
V170133,2-Jan,TX,631,490IDX,49.5,IDEXX HEARTWORM SNAP TEST,2021-04-19,2021
V170133,2-Jan,TX,111,PREAXBW,117.6,IDEXX PABW,2021-04-26,2021
V170133,2-Jan,TX,553,IL32159,194.78,IDEXX YOUNG WELLNESS WITH CANINE CAR,2021-05-17,2021
V170133,2-Jan,TX,258,IL22159,90.0,IDEXX PRE-OP PANEL/ADULT PANEL,2021-06-07,2021
V170133,2-Jan,TX,155,2463,59.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2021-07-12,2021
V170133,2-Jan,TX,365,IL275,163.98,IDEXX DEXAMETHASONE SUPPRESSION (ONE,2021-07-19,2021
V170133,2-Jan,TX,371,4871999,107.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2021-07-26,2021
V170133,2-Jan,TX,703,4871999,111.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2021-09-27,2021
V170133,2-Jan,TX,510,48019999,275.0,FELINE PLUS (IDEXX),2021-12-20,2021
V170133,2-Jan,TX,886,PREAXBW,111.6,IDEXX PABW,2021-12-27,2021
V170133,2-Jan,TX,131,64275,66.8,FECAL O&P DX PP IDEXX #5013,2021-12-27,2021
V170133,2-Jan,TX,474,48019999,268.0,FELINE PLUS (IDEXX),2022-01-17,2022
V170133,2-Jan,TX,941,2463,58.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2022-03-07,2022
V170133,2-Jan,TX,550,48019999,275.0,FELINE PLUS (IDEXX),2022-03-07,2022
V170133,2-Jan,TX,424,IL5010,51.49,IDEXX OVA AND PARASITES 3 OR MORE,2022-03-14,2022
V170133,2-Jan,TX,249,776,122.59,IDEXX URINE CULTURE AND SUSCEPTIBILI,2022-03-28,2022
V170133,2-Jan,TX,291,2463,53.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2022-04-25,2022
V170133,2-Jan,TX,625,IL31829,130.0,IDEXX 4DX + FECAL - COMPREHENSIVE,2022-07-18,2022
V170133,2-Jan,TX,490,FDX,49.0,FECAL DX (IDEXX),2022-12-19,2022
V170133,2-Jan,TX,507,HW,59.0,IDEXX - HEARTWORM SNAP,2022-12-19,2022
V170133,2-Jan,TX,914,FDX,47.0,FECAL DX (IDEXX),2023-01-02,2023
V170133,2-Jan,TX,589,FECALDX,77.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2023-01-23,2023
V170133,2-Jan,TX,301,24639,63.0,IDEXX FECAL O&P W GIARDIA,2023-03-27,2023
V170133,2-Jan,TX,251,75PCMET,259.0,PCMET IDEXX TOTAL BODY HEALTH (75),2023-04-03,2023
V170133,2-Jan,TX,410,IL275,162.98,IDEXX DEXAMETHASONE SUPPRESSION (ONE,2023-04-03,2023
V170133,2-Jan,TX,226,24639,85.57,IDEXX FECAL DX PROFILE W GIARDIA,2023-05-29,2023
V170133,2-Jan,TX,424,URINE,70.5,URINALYSIS IN HOUSE - IDEXX,2023-06-05,2023
V170133,2-Jan,TX,516,IDX2,204.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2023-07-10,2023
V170133,2-Jan,TX,837,IL3808,169.05,IDEXX COMP DIARRHEA PROFILE K9,2023-07-24,2023
V170133,2-Jan,TX,153,IL7244,53.47,IDEXX LAB 4DX PLUS TEST - CANINE,2023-12-04,2023
V196858,2-Jan,NC,712,1189,126.0,IDEXX CUSTOM PROFILE 212-STANDARD CB,2017-01-09,2017
V196858,2-Jan,NC,477,IDX10,67.89,IDEXX FELV + FIV TEST (IN HOUSE),2017-02-06,2017
V196858,2-Jan,NC,792,776,131.59,IDEXX URINE CULTURE AND SUSCEPTIBILI,2017-02-06,2017
V196858,2-Jan,NC,623,3231,59.96,FECAL O&P PRIMATE - IDEXX #320437,2017-02-13,2017
V196858,2-Jan,NC,624,ID75,326.6,TOTAL HEALTH PLUS PROFILE (T4 IDEXX LAB,2017-02-27,2017
V196858,2-Jan,NC,863,IL8041,122.72,IDEXX T4 FOLLOW-UP,2017-04-10,2017
V196858,2-Jan,NC,979,MM,124.5,IDEXX MEDICAL MONITORING PROFILE,2017-04-10,2017
V196858,2-Jan,NC,180,IL45139,170.61,FE SR. WELL TO IDEXX CCC ADD CODE 3869,2017-04-24,2017
V196858,2-Jan,NC,383,IDX2,213.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2017-04-24,2017
V196858,2-Jan,NC,418,IL5013,55.0,IDEXX FECAL DX OVA AND ANTIGEN,2017-05-08,2017
V196858,2-Jan,NC,496,759999,198.0,IDEXX CHEM 27CBCTT4(TOTAL HEALTH PLUS),2017-05-22,2017
V196858,2-Jan,NC,430,IRL24639,48.56,IDEXX FECAL DX PROFILE W GIARDIA,2017-05-22,2017
V196858,2-Jan,NC,156,FDX,53.0,FECAL DX (IDEXX),2017-06-05,2017
V196858,2-Jan,NC,657,IDX101,93.31,IDEXX CHEM 15,2017-06-19,2017
V196858,2-Jan,NC,337,IL501,64.0,IDEXX OVA AND PARASITES (FECAL),2017-06-19,2017
V196858,2-Jan,NC,371,IL275,151.98,IDEXX DEXAMETHASONE SUPPRESSION (ONE,2017-06-19,2017
V196858,2-Jan,NC,199,31803,132.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2017-06-26,2017
V196858,2-Jan,NC,344,HW,63.0,IDEXX - HEARTWORM SNAP,2017-07-03,2017
V196858,2-Jan,NC,203,I381099,227.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2017-07-10,2017
V196858,2-Jan,NC,772,FDX,52.0,FECAL DX (IDEXX),2017-07-10,2017
V196858,2-Jan,NC,838,3231,53.96,FECAL O&P PRIMATE - IDEXX #320438,2017-07-24,2017
V196858,2-Jan,NC,719,2463,56.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2017-08-07,2017
V196858,2-Jan,NC,891,IL90999,274.0,IDEXX FELINE SENIOR PROFILE -STANDAR,2017-09-04,2017
V196858,2-Jan,NC,752,IR501,49.0,IDEXX FECAL O&P,2017-09-04,2017
V196858,2-Jan,NC,527,IDEXX5013L,48.75,IDEXX - FECAL DX - TO LAB,2017-09-11,2017
V196858,2-Jan,NC,716,IDX2,209.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2017-09-11,2017
V196858,2-Jan,NC,211,48019999,273.0,FELINE PLUS (IDEXX),2017-09-18,2017
V196858,2-Jan,NC,476,FECAL,75.0,FECAL FLOAT (TO IDEXX LAB),2017-10-09,2017
V196858,2-Jan,NC,508,MM,127.5,IDEXX MEDICAL MONITORING PROFILE,2017-10-16,2017
V196858,2-Jan,NC,643,FDX,45.0,FECAL DX (IDEXX),2017-10-23,2017
V196858,2-Jan,NC,483,FDX,47.0,FECAL DX (IDEXX),2017-10-30,2017
V196858,2-Jan,NC,186,6240,163.0,SA IDEXX B12(2013),2017-11-20,2017
V196858,2-Jan,NC,424,IL24483,257.0,IDEXX SENIOR PROFILE W/FECAL DX & 4DX,2017-12-04,2017
V196858,2-Jan,NC,631,2463,53.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2017-12-11,2017
V196858,2-Jan,NC,692,IL5010,49.49,IDEXX OVA AND PARASITES 3 OR MORE,2017-12-18,2017
V196858,2-Jan,NC,460,FECAL,79.0,FECAL FLOAT (TO IDEXX LAB),2018-01-01,2018
V196858,2-Jan,NC,978,776,128.59,IDEXX URINE CULTURE AND SUSCEPTIBILI,2018-02-05,2018
V196858,2-Jan,NC,489,FDX,49.0,FECAL DX (IDEXX),2018-02-05,2018
V196858,2-Jan,NC,421,I910,80.0,IDEXX URINALYSIS,2018-02-05,2018
V196858,2-Jan,NC,745,IL5199,50.48,IDEXX FECAL DX ANTIGEN,2018-02-12,2018
V196858,2-Jan,NC,511,IL75B,165.0,IDEXX TOTAL HEALTH PLUS BASIC**,2018-02-19,2018
V196858,2-Jan,NC,699,IL9461,144.0,IDEXX URINE CORT/CREATINE ADD-ON,2018-02-26,2018
V196858,2-Jan,NC,912,I7723,49.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2018-03-12,2018
V196858,2-Jan,NC,104,T4,48.5,IDEXX T4,2018-03-26,2018
V196858,2-Jan,NC,787,910,68.04,URINALYSIS ~ IDEXX,2018-04-16,2018
V196858,2-Jan,NC,392,I381099,230.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2018-05-14,2018
V196858,2-Jan,NC,915,IL22159,87.0,IDEXX PRE-OP PANEL/ADULT PANEL,2018-06-04,2018
V196858,2-Jan,NC,692,ID75,323.6,TOTAL HEALTH PLUS PROFILE (T4 IDEXX LAB,2018-06-11,2018
V196858,2-Jan,NC,842,I381099,223.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2018-07-23,2018
V196858,2-Jan,NC,515,URINE,64.5,URINALYSIS IN HOUSE - IDEXX,2018-08-06,2018
V196858,2-Jan,NC,188,T4,52.5,IDEXX T4,2018-08-06,2018
V196858,2-Jan,NC,417,IL5010,50.49,IDEXX OVA AND PARASITES 3 OR MORE,2018-08-27,2018
V196858,2-Jan,NC,264,ID804,130.0,IDEXX TOTAL T4,2018-09-03,2018
V196858,2-Jan,NC,907,FDX,45.0,FECAL DX (IDEXX),2018-09-03,2018
V196858,2-Jan,NC,934,I381099,233.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2018-09-24,2018
V196858,2-Jan,NC,978,176140,32.0,IDEXX CATALYST LYTE 4,2018-09-24,2018
V196858,2-Jan,NC,106,48019999,278.0,FELINE PLUS (IDEXX),2018-09-24,2018
V196858,2-Jan,NC,813,75PCMET,253.0,PCMET IDEXX TOTAL BODY HEALTH (75),2018-10-01,2018
V196858,2-Jan,NC,525,IDEXX5013L,50.75,IDEXX - FECAL DX - TO LAB,2018-11-12,2018
V196858,2-Jan,NC,853,31803,129.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2018-11-12,2018
V196858,2-Jan,NC,454,IL9400,111.15,IDEXX URINALYSIS WITH UPC,2018-11-19,2018
V196858,2-Jan,NC,848,I7723,49.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2018-12-31,2018
V196858,2-Jan,NC,479,IDEXX5013L,46.75,IDEXX - FECAL DX - TO LAB,2019-01-21,2019
V196858,2-Jan,NC,153,IL22159,94.0,IDEXX PRE-OP PANEL/ADULT PANEL,2019-02-11,2019
V196858,2-Jan,NC,602,FDX,54.0,FECAL DX (IDEXX),2019-02-25,2019
V196858,2-Jan,NC,410,IL31829,128.0,IDEXX 4DX + FECAL - COMPREHENSIVE,2019-03-04,2019
V196858,2-Jan,NC,432,HW,56.0,IDEXX - HEARTWORM SNAP,2019-03-04,2019
V196858,2-Jan,NC,791,27007,169.0,SENIOR PROFILE - IDEXX,2019-03-04,2019
V196858,2-Jan,NC,939,T4,49.5,IDEXX T4,2019-04-08,2019
V196858,2-Jan,NC,374,IDEXX5013L,48.75,IDEXX - FECAL DX - TO LAB,2019-04-15,2019
V196858,2-Jan,NC,650,490IDX,44.5,IDEXX HEARTWORM SNAP TEST,2019-04-22,2019
V196858,2-Jan,NC,248,RX7244,65.0,4DX HEARTWORM - IDEXX,2019-09-16,2019
V196858,2-Jan,NC,803,IL32159,190.78,IDEXX YOUNG WELLNESS WITH CANINE CAR,2019-10-07,2019
V196858,2-Jan,NC,779,IL7244,54.47,IDEXX LAB 4DX PLUS TEST - CANINE,2020-09-07,2020
V196858,2-Jan,NC,360,776,130.59,IDEXX URINE CULTURE AND SUSCEPTIBILI,2020-09-14,2020
V196858,2-Jan,NC,540,176140,32.0,IDEXX CATALYST LYTE 4,2020-10-12,2020
V196858,2-Jan,NC,504,IL5013,62.0,IDEXX FECAL DX OVA AND ANTIGEN,2020-11-02,2020
V196858,2-Jan,NC,762,ID804,131.0,IDEXX TOTAL T4,2020-11-02,2020
V196858,2-Jan,NC,690,IL275,152.98,IDEXX DEXAMETHASONE SUPPRESSION (ONE,2020-11-09,2020
V196858,2-Jan,NC,698,FDX,46.0,FECAL DX (IDEXX),2020-11-16,2020
V196858,2-Jan,NC,819,1189,134.0,IDEXX CUSTOM PROFILE 212-STANDARD CB,2020-11-16,2020
V196858,2-Jan,NC,293,RX7244,65.0,4DX HEARTWORM - IDEXX,2021-02-15,2021
V196858,2-Jan,NC,144,URINE,68.5,URINALYSIS IN HOUSE - IDEXX,2021-04-05,2021
V196858,2-Jan,NC,642,IL5199,45.48,IDEXX FECAL DX ANTIGEN,2021-06-07,2021
V196858,2-Jan,NC,573,URINE,66.5,URINALYSIS IN HOUSE - IDEXX,2021-06-14,2021
V196858,2-Jan,NC,687,I910,73.0,IDEXX URINALYSIS,2021-08-02,2021
V196858,2-Jan,NC,732,ID75,315.6,TOTAL HEALTH PLUS PROFILE (T4 IDEXX LAB,2021-09-06,2021
V196858,2-Jan,NC,234,64275,63.8,FECAL O&P DX PP IDEXX #5013,2021-09-13,2021
V196858,2-Jan,NC,789,42739999,443.7,IDEXX CANINE BLOODWORK PACKAGE,2021-09-27,2021
V196858,2-Jan,NC,975,IL24483,279.0,IDEXX SENIOR PROFILE W/FECAL DX & 4DX,2021-10-04,2021
V196858,2-Jan,NC,525,I381099,234.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2021-11-08,2021
V196858,2-Jan,NC,670,1773,27.01,IDEXX CBC (PROCYTE) INHOUSE,2021-11-15,2021
V196858,2-Jan,NC,592,FDX,48.0,FECAL DX (IDEXX),2022-01-03,2022
V196858,2-Jan,NC,446,910,68.04,URINALYSIS ~ IDEXX,2022-01-03,2022
V196858,2-Jan,NC,421,176140,32.0,IDEXX CATALYST LYTE 4,2022-04-04,2022
V196858,2-Jan,NC,588,I7723,46.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2022-04-18,2022
V196858,2-Jan,NC,512,IDX10,70.89,IDEXX FELV + FIV TEST (IN HOUSE),2022-05-23,2022
V196858,2-Jan,NC,843,T4,47.5,IDEXX T4,2022-06-13,2022
V196858,2-Jan,NC,299,31803,134.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2022-10-10,2022
V196858,2-Jan,NC,101,PREAXBW,116.6,IDEXX PABW,2022-10-24,2022
V196858,2-Jan,NC,749,IL9101,88.73,IDEXX URINALYSIS ADD-ON,2022-10-24,2022
V196858,2-Jan,NC,994,AC100,100.9,IDEXX 4DX  W REFLEX,2022-11-07,2022
V196858,2-Jan,NC,385,IL31829,126.0,IDEXX 4DX + FECAL - COMPREHENSIVE,2022-11-28,2022
V196858,2-Jan,NC,885,6240,154.0,SA IDEXX B12(2013),2022-12-26,2022
V196858,2-Jan,NC,369,IL5010,49.49,IDEXX OVA AND PARASITES 3 OR MORE,2023-03-06,2023
V196858,2-Jan,NC,616,IRL24639,50.56,IDEXX FECAL DX PROFILE W GIARDIA,2023-03-20,2023
V196858,2-Jan,NC,168,SA705,120.9,IDEXX SENIOR CBCCHEMT4 (NEED UA),2023-04-10,2023
V196858,2-Jan,NC,395,IL90999,281.0,IDEXX FELINE SENIOR PROFILE -STANDAR,2023-04-17,2023
V196858,2-Jan,NC,730,3231,59.96,FECAL O&P PRIMATE - IDEXX #320438,2023-05-15,2023
V196858,2-Jan,NC,960,6120,70.0,IDEXX - CHEM 10 RECHECK,2023-06-05,2023
V196858,2-Jan,NC,914,IL5013,55.0,IDEXX FECAL DX OVA AND ANTIGEN,2023-06-05,2023
V196858,2-Jan,NC,481,I381099,225.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2023-07-10,2023
V196858,2-Jan,NC,307,IL31829,135.0,IDEXX - 4DX + FECAL - COMPREHENSIVE,2023-07-10,2023
V196858,2-Jan,NC,688,FECALDX,80.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2023-08-07,2023
V196858,2-Jan,NC,307,FECA,35.0,FECAL PANEL TO IDEXX,2023-10-02,2023
V196858,2-Jan,NC,790,31803,129.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2023-12-25,2023
V196858,3-Jan,TX,685,IDX101,97.31,IDEXX CHEM 15,2017-01-16,2017
V196858,3-Jan,TX,909,IL3808,165.05,IDEXX COMP DIARRHEA PROFILE K9,2017-01-23,2017
V196858,3-Jan,TX,858,48019999,262.0,FELINE PLUS (IDEXX),2017-01-30,2017
V196858,3-Jan,TX,199,3231,53.96,FECAL O&P PRIMATE - IDEXX #320388,2017-02-06,2017
V196858,3-Jan,TX,847,1827,106.11,IDEXX TOTAL HEALTH + T4 #759999,2017-02-20,2017
V196858,3-Jan,TX,985,IL7244,52.47,IDEXX LAB 4DX PLUS TEST - CANINE,2017-02-27,2017
V196858,3-Jan,TX,602,759999,194.0,IDEXX CHEM 27CBCTT4(TOTAL HEALTH PLUS),2017-03-20,2017
V196858,3-Jan,TX,282,I7723,45.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2017-03-27,2017
V196858,3-Jan,TX,430,SA705,120.9,IDEXX SENIOR CBCCHEMT4 (NEED UA),2017-04-03,2017
V196858,3-Jan,TX,945,ID804,120.0,IDEXX TOTAL T4,2017-05-08,2017
V196858,3-Jan,TX,657,ID75,304.6,TOTAL HEALTH PLUS PROFILE (T4 IDEXX LAB,2017-05-08,2017
V196858,3-Jan,TX,592,759999,197.0,IDEXX CHEM 27CBCTT4(TOTAL HEALTH PLUS),2017-05-22,2017
V196858,3-Jan,TX,876,RX7244,68.0,4DX HEARTWORM - IDEXX,2017-06-05,2017
V196858,3-Jan,TX,297,FECALDX,77.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2017-06-12,2017
V196858,3-Jan,TX,435,910,69.8,IDEXX URINALYSIS,2017-06-12,2017
V196858,3-Jan,TX,882,IL9101,84.73,IDEXX URINALYSIS ADD-ON,2017-06-26,2017
V196858,3-Jan,TX,822,IL24483,278.0,IDEXX SENIOR PROFILE W/FECAL DX & 4DX,2017-06-26,2017
V196858,3-Jan,TX,164,2463,56.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2017-07-17,2017
V196858,3-Jan,TX,658,GIAFF,78.8,FECAL PANEL FELINE (GIARDIACENT. -IDEXX,2017-07-17,2017
V196858,3-Jan,TX,614,FAAP,167.87,FELINE ADULT ANNUAL LAB PROFILE - IDEXX,2017-07-24,2017
V196858,3-Jan,TX,334,2463,55.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2017-07-31,2017
V196858,3-Jan,TX,846,IL501,61.0,IDEXX OVA AND PARASITES (FECAL),2017-07-31,2017
V196858,3-Jan,TX,355,I910,79.0,IDEXX URINALYSIS,2017-08-14,2017
V196858,3-Jan,TX,808,48019999,257.0,FELINE PLUS (IDEXX),2017-09-04,2017
V196858,3-Jan,TX,201,IL31829,100.92,IDEXX K9 COMP PARASITE SCREEN,2017-09-11,2017
V196858,3-Jan,TX,282,HF248,196.0,ZRADIOLOGY CONSULT (IDEXX) HF,2017-09-11,2017
V196858,3-Jan,TX,349,FDX,52.0,FECAL DX (IDEXX),2017-09-18,2017
V196858,3-Jan,TX,627,IL9461,133.0,IDEXX URINE CORT/CREATINE ADD-ON,2017-09-25,2017
V196858,3-Jan,TX,783,4DX,63.0,IDEXX SNAP 4DX PLUS HEARTWORM TEST,2017-09-25,2017
V196858,3-Jan,TX,425,IDX2,207.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2017-10-09,2017
V196858,3-Jan,TX,386,IDX101,91.31,IDEXX CHEM 15,2017-10-09,2017
V196858,3-Jan,TX,510,1827,108.11,IDEXX TOTAL HEALTH + T4 #759999,2017-10-16,2017
V196858,3-Jan,TX,603,4871999,105.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2017-12-04,2017
V196858,3-Jan,TX,872,3231,61.96,FECAL O&P PRIMATE - IDEXX #320381,2017-12-25,2017
V196858,3-Jan,TX,432,I910,71.0,IDEXX URINALYSIS,2017-12-25,2017
V196858,3-Jan,TX,401,75PCMET,241.0,PCMET IDEXX TOTAL BODY HEALTH (75),2017-12-25,2017
V196858,3-Jan,TX,958,176140,34.0,IDEXX CATALYST LYTE 4,2018-01-01,2018
V196858,3-Jan,TX,619,4871999,103.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2018-01-08,2018
V196858,3-Jan,TX,732,1295,84.89,IDEXX URINALYSIS,2018-01-08,2018
V196858,3-Jan,TX,252,IL7244,50.47,IDEXX LAB 4DX PLUS TEST - CANINE,2018-01-08,2018
V196858,3-Jan,TX,651,27013,76.0,CBC - IDEXX,2018-01-15,2018
V196858,3-Jan,TX,887,1773,27.01,IDEXX CBC (PROCYTE) INHOUSE,2018-01-29,2018
V196858,3-Jan,TX,539,IL5010,50.49,IDEXX OVA AND PARASITES 3 OR MORE,2018-02-05,2018
V196858,3-Jan,TX,880,IL75B,168.0,IDEXX TOTAL HEALTH PLUS BASIC**,2018-02-19,2018
V196858,3-Jan,TX,609,IL75B,174.0,IDEXX TOTAL HEALTH PLUS BASIC**,2018-03-05,2018
V196858,3-Jan,TX,122,1827,105.11,IDEXX TOTAL HEALTH + T4 #759999,2018-03-12,2018
V196858,3-Jan,TX,657,IL5010,48.49,IDEXX OVA AND PARASITES 3 OR MORE,2018-04-02,2018
V196858,3-Jan,TX,431,IDEXX5013L,47.75,IDEXX - FECAL DX - TO LAB,2018-04-09,2018
V196858,3-Jan,TX,717,AC100,101.9,IDEXX 4DX  W REFLEX,2018-04-23,2018
V196858,3-Jan,TX,117,MM,129.5,IDEXX MEDICAL MONITORING PROFILE,2018-05-28,2018
V196858,3-Jan,TX,170,IDX105,56.81,IDEXX CBC,2018-05-28,2018
V196858,3-Jan,TX,507,T4,45.5,IDEXX T4,2018-06-04,2018
V196858,3-Jan,TX,573,FAAP,154.87,FELINE ADULT ANNUAL LAB PROFILE - IDEXX,2018-06-04,2018
V196858,3-Jan,TX,540,I7723,42.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2018-06-04,2018
V196858,3-Jan,TX,118,GIAFF,72.8,FECAL PANEL FELINE (GIARDIACENT. -IDEXX,2018-06-11,2018
V196858,3-Jan,TX,478,64275,58.8,FECAL O&P DX PP IDEXX #5013,2018-07-16,2018
V196858,3-Jan,TX,747,3231,54.96,FECAL O&P PRIMATE - IDEXX #320381,2018-07-16,2018
V196858,3-Jan,TX,978,4871999,106.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2018-07-23,2018
V196858,3-Jan,TX,427,IL275,154.98,IDEXX DEXAMETHASONE SUPPRESSION (ONE,2018-09-17,2018
V196858,3-Jan,TX,604,IL501,61.0,IDEXX OVA AND PARASITES (FECAL),2018-09-24,2018
V196858,3-Jan,TX,601,3231,58.96,FECAL O&P PRIMATE - IDEXX #320438,2018-10-22,2018
V196858,3-Jan,TX,943,1295,81.89,IDEXX URINALYSIS,2018-12-03,2018
V196858,3-Jan,TX,235,IL75B,165.0,IDEXX TOTAL HEALTH PLUS BASIC**,2019-01-07,2019
V196858,3-Jan,TX,653,I381099,223.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2019-01-14,2019
V196858,3-Jan,TX,890,IRL24639,45.56,IDEXX FECAL DX PROFILE W GIARDIA,2019-01-21,2019
V196858,3-Jan,TX,591,FDX,52.0,FECAL DX (IDEXX),2019-02-18,2019
V196858,3-Jan,TX,177,FECAL,73.0,FECAL FLOAT (TO IDEXX LAB),2019-03-18,2019
V196858,3-Jan,TX,404,1827,112.11,IDEXX TOTAL HEALTH + T4 #759999,2019-04-01,2019
V196858,3-Jan,TX,227,4871999,107.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2019-05-13,2019
V196858,3-Jan,TX,132,1248,283.9,RADIOGRAPH INTERPRETATION  STAT IDEXX,2019-05-13,2019
V196858,3-Jan,TX,171,IL75B,172.0,IDEXX TOTAL HEALTH PLUS BASIC**,2019-05-20,2019
V196858,3-Jan,TX,694,IL9101,82.73,IDEXX URINALYSIS ADD-ON,2019-06-03,2019
V196858,3-Jan,TX,230,3231,61.96,FECAL O&P PRIMATE - IDEXX #320437,2019-06-03,2019
V196858,3-Jan,TX,455,1295,86.89,IDEXX URINALYSIS,2019-06-17,2019
V196858,3-Jan,TX,216,10132,40.0,FRUCTOSAMINE (IDEXX IN-HOUSE),2019-06-24,2019
V196858,3-Jan,TX,276,24639,65.0,IDEXX FECAL O&P W GIARDIA,2019-08-19,2019
V196858,3-Jan,TX,406,AC100,95.9,IDEXX 4DX  W REFLEX,2019-08-19,2019
V196858,3-Jan,TX,986,1827,111.11,IDEXX TOTAL HEALTH + T4 #759999,2019-09-23,2019
V196858,3-Jan,TX,582,GIAFF,79.8,FECAL PANEL FELINE (GIARDIACENT. -IDEXX,2020-04-06,2020
V196858,3-Jan,TX,219,27007,170.0,SENIOR PROFILE - IDEXX,2020-04-13,2020
V196858,3-Jan,TX,989,759999,195.0,IDEXX CHEM 27CBCTT4(TOTAL HEALTH PLUS),2020-05-18,2020
V196858,3-Jan,TX,855,RX7244,65.0,4DX HEARTWORM - IDEXX,2020-05-25,2020
V196858,3-Jan,TX,621,IL9400,112.15,IDEXX URINALYSIS WITH UPC,2020-07-20,2020
V196858,3-Jan,TX,560,IL275,150.98,IDEXX DEXAMETHASONE SUPPRESSION (ONE,2020-08-31,2020
V196858,3-Jan,TX,764,IL31829,126.0,IDEXX - 4DX + FECAL - COMPREHENSIVE,2020-09-28,2020
V196858,3-Jan,TX,555,IDX105,55.81,IDEXX CBC,2021-01-25,2021
V196858,3-Jan,TX,429,1189,133.0,IDEXX CUSTOM PROFILE 212-STANDARD CB,2021-03-29,2021
V196858,3-Jan,TX,931,75PCMET,244.0,PCMET IDEXX TOTAL BODY HEALTH (75),2021-04-26,2021
V196858,3-Jan,TX,180,URINE,67.5,URINALYSIS IN HOUSE - IDEXX,2021-07-05,2021
V196858,3-Jan,TX,199,FECALDX,76.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2021-09-20,2021
V196858,3-Jan,TX,773,IL31829,125.0,IDEXX - 4DX + FECAL - COMPREHENSIVE,2021-10-11,2021
V196858,3-Jan,TX,935,1248,275.9,RADIOGRAPH INTERPRETATION  STAT IDEXX,2022-02-07,2022
V196858,3-Jan,TX,281,64275,60.8,FECAL O&P DX PP IDEXX #5013,2022-03-14,2022
V196858,3-Jan,TX,374,FAAP,164.87,FELINE ADULT ANNUAL LAB PROFILE - IDEXX,2022-03-28,2022
V196858,3-Jan,TX,792,IL22159,92.0,IDEXX PRE-OP PANEL/ADULT PANEL,2022-05-09,2022
V196858,3-Jan,TX,866,910,63.04,URINALYSIS ~ IDEXX,2022-11-14,2022
V196858,3-Jan,TX,526,HF248,192.0,ZRADIOLOGY CONSULT (IDEXX) HF,2022-12-05,2022
