companyid,locationid,patientid,clientid,breed,species,age
V204163,1-Jan,862,208,DSH,FELINE,24
V204163,1-Jan,338,481,ITALIAN GREYHOUND,CANINE,17
V204163,1-Jan,583,366,POMERANIAN MIX,DOG,6
V204163,1-Jan,917,343,TERRIER  SCOTTISH,CANINE,22
V204163,1-Jan,923,124,AMERICAN BARN FERAL,FELINE,8
V204163,1-Jan,621,329,HEELER (AUSTRALIAN CATTLE DOG),CANINE,13
V204163,1-Jan,853,161,TERRIER MIX,CANINE,10
V204163,1-Jan,701,223,MIXED,CANINE,20
V204163,1-Jan,217,437,SHEPHERD GERMAN,CANINE,2
V204163,1-Jan,647,457,MIXED,CANINE,3
V204163,1-Jan,668,491,DSH,FELINE,9
V204163,1-Jan,331,144,BULLDOG ENGLISH,DOG,17
V204163,1-Jan,276,284,SHIH TZU,CANINE,9
V204163,1-Jan,551,447,SHORTHAIR DOMESTIC,FELINE,18
V204163,1-Jan,530,303,MIXED,CANINE,2
V204163,1-Jan,986,475,DOMESTIC MEDIUM HAIR,FELINE,8
V204163,1-Jan,683,110,DOMESTIC SHORTHAIR,FELINE,6
V204163,1-Jan,631,378,DOMESTIC LONGHAIR,FELINE,23
V204163,1-Jan,755,207,MIX BREED,CANINEGHT,24
V204163,1-Jan,437,135,AMERICAN QUARTER HORSE,EQUINE,20
V204163,1-Jan,138,346,OTHER CANINE,CANINE,24
V204163,1-Jan,595,324,DOMESTIC MEDIUM HAIR,FELINE,20
V204163,1-Jan,393,273,DOMESTIC SHORTHAIR,FELINE,13
V204163,1-Jan,883,229,GERMAN SHEPHERD,CANINE,6
V204163,1-Jan,259,484,DACHSHUND,CANINE,23
V204163,1-Jan,744,321,GOLDEN RETRIEVER,DOG,7
V204163,1-Jan,174,276,DOMESTIC MEDIUM HAIR,FELINE-SPEC.,23
V204163,1-Jan,857,463,DOMESTIC LONGHAIR,FELINE,2
V204163,1-Jan,967,306,SAINT BERNARD,CANINE,14
V204163,1-Jan,521,310,JACK RUSSELL TERRIER,CANINE,24
V204163,1-Jan,439,465,DOMESTIC SHORT HAIR,FELINE,17
V204163,1-Jan,895,150,WEST HIGHLAND TERRIER,DOG,17
V204163,1-Jan,355,172,DOMESTIC MEDIUMHAIR,FELINE,10
V204163,1-Jan,392,298,DOMESTIC SHORT HAIR,FELINE,12
V204163,1-Jan,835,410,DOMESTIC SHORTHAIR,FELINE,20
V204163,1-Jan,333,249,DOMESTIC LONGHAIR,FELINE,22
V204163,1-Jan,954,295,CHESAPEAKE BAY RETRIEVER,CANINE,9
V204163,1-Jan,182,318,RAT,RODENT,6
V204163,1-Jan,115,356,DOMESTIC SHORT HAIR,CAT,9
V204163,1-Jan,825,457,BEAGLE MIX,CANINE,15
V204163,1-Jan,742,423,WEST HIGHLAND TERRIER,CANINE,21
V204163,1-Jan,546,240,PUG,CANINE,22
V204163,1-Jan,209,312,TERRIER MIX,CANINE,20
V204163,1-Jan,612,199,DOMESTIC SHORT HAIR,CAT,23
V204163,1-Jan,306,344,BEAGLE,DOG,12
V204163,1-Jan,903,246,DSH,CAT,12
V204163,1-Jan,317,250,SPANIEL-COCKER,CANINE,21
V204163,1-Jan,466,230,PUG,CANINE,18
V204163,1-Jan,121,102,YORKSHIRE TERRIER,CANINE,13
V204163,1-Jan,519,250,BULLDOG  FRENCH,CANINE,18
V204163,1-Jan,699,242,RETRIEVER LABRADOR,CANINE,5
V204163,1-Jan,576,344,DOMESTIC SHORTHAIR,FELINE,17
V204163,1-Jan,616,492,DOMESTIC MEDIUM HAIR,FELINE,2
V204163,1-Jan,407,231,DOM. LONG HAIR,FELINE,14
V204163,1-Jan,229,231,CHOW CHOW/MIX,CANINE,18
V204163,1-Jan,873,336,SPANIEL BRITTANY,CANINE,23
V204163,1-Jan,300,288,SHIHTZU,CANINE,16
V204163,1-Jan,353,419,TERRIER  JACK RUSSELL,CANINE,13
V204163,1-Jan,909,245,DOMESTIC SHORTHAIR,CAT,16
V204163,1-Jan,958,297,BOSTON TERRIER,CANINE,24
V204163,1-Jan,206,498,PITBULL,CANINE,9
V204163,1-Jan,145,390,SHIH TZU,CANINE,20
V204163,1-Jan,885,360,PIT BULL,CANINE,15
V204163,1-Jan,542,386,DOMESTIC SHORT HAIR,FELINE,20
V204163,1-Jan,190,119,OTHER SMALL,OTHER SMALL,16
V204163,1-Jan,564,216,MIXED,CANINE,12
V204163,1-Jan,920,367,DOMESTIC SHORTHAIR,FELINE,16
V204163,1-Jan,959,443,TERRIER MIX,CANINE,12
V204163,1-Jan,766,316,YORKSHIRE TERRIER,CANINE,8
V204163,1-Jan,307,272,SCHNAUZER,CANINE,6
V204163,1-Jan,106,307,COCKAPOO,CANINE,14
V204163,1-Jan,469,328,ABYSSINIAN,FELINE,1
V204163,1-Jan,235,250,DOMESTIC SHORTHAIR,FELINE,12
V204163,1-Jan,127,242,GERMAN SHEPHERD MIX,CANINE,18
V204163,1-Jan,918,353,POMERANIAN MIX,CANINE,18
V204163,1-Jan,990,367,BULLDOG AMERICAN,CANINE,10
V204163,1-Jan,363,415,RHODESIAN RIDGEBACK,CANINE,14
V204163,1-Jan,292,181,MINIATURE SCHNAUZER,CANINE,24
V204163,1-Jan,303,308,HUSKY  SIBERIAN,CANINE,24
V204163,1-Jan,102,364,SHEEPDOG  SHETLAND,CANINE,15
V204163,1-Jan,697,398,SUGAR GLIDER,SUGAR GLID,19
V204163,1-Jan,404,428,RETRIEVER  GOLDEN,CANINE,9
V204163,1-Jan,541,108,DACHSHUND MINIATURE,CANINE,21
V204163,1-Jan,505,423,SPANIEL  ENGLISH SPRINGER,CANINE,8
V204163,1-Jan,936,188,DOMESTIC SHORTHAIR,FELINE,6
V204163,1-Jan,710,245,RAG DOLL,FELINE,17
V204163,1-Jan,695,152,PINSCHER  DOBERMAN,CANINE,18
V204163,1-Jan,341,134,CHIHUAHUA - LONG COAT,CANINE,13
V204163,1-Jan,558,130,AUST SHEPHERD,CANINE,19
V204163,1-Jan,852,495,BEAGLE MIX,CANINE,18
V204163,1-Jan,663,318,OTHER,EQUINE,15
V204163,1-Jan,597,188,CHIHUAHUA,CANINE,10
V204163,1-Jan,501,376, MAINE COON,FELINE,17
V204163,1-Jan,129,213,DOMESTIC SHORTHAIR,FELINE,11
V204163,1-Jan,722,204,MIX,CANINE,21
V204163,1-Jan,104,405,SHEPHERD,CANINE,5
V204163,1-Jan,679,199,COLLIE  BORDER,CANINE,17
V204163,1-Jan,904,251,BULL MASTIFF,DOG,10
V204163,1-Jan,951,361,MIN DACHSHUND,K9,18
V204163,1-Jan,278,155,MALTESE MIX,CANINE,11
V204163,1-Jan,396,402,PAINT,EQUINE,23
V204163,1-Jan,395,440,GREAT DANE,CANINE,13
V204163,1-Jan,525,468,AMERICAN PIT BULL MIX,CANINE,8
V204163,1-Jan,865,399,BOXER,CANINE,23
V204163,1-Jan,674,134,WELSH CORGI/MIX,CANINE,7
V204163,1-Jan,459,149,ROTTWEILER,CANINE,3
V204163,1-Jan,114,103,DOMESTIC MEDIUMHAIR,FELINE,19
V204163,1-Jan,275,214,MIXED,CANINE,17
V204163,1-Jan,470,230,SHORTHAIR  DOMESTIC,FELINE,19
V204163,1-Jan,337,199,DOMESTIC SHORTHAIR,FELINE,22
V204163,1-Jan,536,223,BEAGLE,CANINE,7
V204163,1-Jan,408,392,DOMESTIC SHORTHAIR,FELINE,24
V204163,1-Jan,657,108,PERSIAN,FELINE,24
V204163,1-Jan,399,479,AMERICAN BULLDOG,CANINE,6
V204163,1-Jan,515,402,SHIH TZU,CANINE,13
V204163,1-Jan,377,429,QH - QUARTER HORSE,EQUINE,18
V204163,1-Jan,648,142,LABRADOR RETRIEVER MIX,CANINE,15
V204163,1-Jan,559,394,HUSKY MIX,CANINE,15
V204163,1-Jan,476,464,BICHON FRISE,CANINE,20
V204163,1-Jan,368,224,CHIHUAHUA,CANINE,18
V204163,1-Jan,676,165,PIT BULL TERRIER,CANINE,13
V204163,1-Jan,937,483,OTHER FELINE,FELINE,6
V204163,1-Jan,557,202,MOUNTAIN CUR,CANINE,24
V204163,1-Jan,983,430,LABRADOR RETRIEVER,CANINE,16
V204163,1-Jan,763,436,TERRIER MIX,CANINE,18
V204163,1-Jan,858,432,RETRIEVER  LABRADOR,CANINE,18
V204163,1-Jan,339,175,DACHSHUND  SMOOTH,CANINE,19
V218009,1-Jan,252,146,DOMESTIC SHORT HAIR,FELINE (CAT),18
V218009,1-Jan,107,105,DOMESTIC SHORTHAIR,FELINE,15
V218009,1-Jan,155,363,CHOW CHOW MIX,CANINE,18
V218009,1-Jan,544,343,WARMBLOOD,EQUINE,6
V218009,1-Jan,565,370,AMER. DOM. SH,FELINE,6
V218009,1-Jan,296,238,MIX,DOG,11
V218009,1-Jan,281,341,DOMESTIC SHORT HAIR,FELINE,16
V218009,1-Jan,987,189,LABRADOR RETRIEVER,CANINE,15
V218009,1-Jan,697,444,SHORTHAIR  DOMESTIC,FELINE,19
V218009,1-Jan,996,130,TERRIER JACK RUSSELL MIX,CANINE,19
V218009,1-Jan,543,172,AMERICAN PIT BULL TERRIER,CANINE,14
V218009,1-Jan,330,250,BIRMAN,FELINE,20
V218009,1-Jan,536,363,DOMESTIC SHORTHAIR,FELINE,11
V218009,1-Jan,816,118,LABRADOR RETRIEVER,CANINE,23
V218009,1-Jan,925,461,PUG,CANINE,19
V218009,1-Jan,506,427,DSH (DOMESTIC SHORT HAIR),FELINE,15
V218009,1-Jan,820,130,YORKSHIRE TERRIER,CANINE,21
V218009,1-Jan,708,437,GREAT DANE,CANINE,19
V218009,1-Jan,938,253,GREAT DANE,CANINE,18
V218009,1-Jan,475,424,DSH,FELINE,7
V218009,1-Jan,589,199,MALTESE MIX,CANINE,13
V218009,1-Jan,390,416,WARMBLOOD,EQUINE,23
V218009,1-Jan,308,104,BEAGLE MIX,CANINE,6
V218009,1-Jan,234,314,GOLDEN RETRIEVER,CANINE,18
V218009,1-Jan,784,439,AFRICAN GREY PARROT,BIRD,7
V218009,1-Jan,937,167,MIX  LAB. RETRIEVER,CANINE,20
V218009,1-Jan,654,317,AMERICAN STAFFORSHIRE TERRIER,CANINE - DOGS,23
V218009,1-Jan,386,435,SHORTHAIR  DOMESTIC,FELINE,12
V218009,1-Jan,201,426,RAT TERRIER,CANINE,20
V218009,1-Jan,645,144,RETRIEVER LABRADOR MIX,CANINE,24
V218009,1-Jan,348,232,GERMAN SHEPHERD DOG,CANINE,8
V218009,1-Jan,660,232,GERMAN SHEPHERD,CANINE,9
V218009,1-Jan,323,469,LAB MIX,CANINE,13
V218009,1-Jan,498,478,BORDER COLLIE MIX,CANINE,19
V218009,1-Jan,915,216,DMH,FELINE,8
V218009,1-Jan,378,156,LAB MIX,CANINE,17
V218009,1-Jan,593,384,MINIATURE SCHNAUZER,CANINE,19
V218009,1-Jan,313,474,SHEPHERD  AUSTRALIAN MIX,CANINE,7
V218009,1-Jan,119,403,SHEPHERD GERMAN,CANINE,8
V218009,1-Jan,991,198,TERRIER MIX,CANINE,15
V218009,1-Jan,592,152,MIX,CANINE,9
V218009,1-Jan,407,451,BASSETT HOUND,CANINE,16
V218009,1-Jan,209,477,DOGUE DE BORDEAUX,CANINE,15
V218009,1-Jan,947,443,LABRADOR RETRIEVER,CANINE,20
V218009,1-Jan,949,105,CANAAN DOG,CANINE,24
V218009,1-Jan,959,483,REX  MINI,RABBIT,11
V218009,1-Jan,547,410,MIX  LAB. RETRIEVER,CANINE,20
V218009,1-Jan,325,238,CHIHUAHUAMIX,CANINE,24
V218009,1-Jan,916,341,BOXER,CANINE,17
V218009,1-Jan,404,312,JACK RUSSEL TERR,CANINE,16
V218009,1-Jan,541,143,DOMESTIC LONG HAIR,FELINE,7
V218009,1-Jan,693,279,BORDER COLLIE,CANINE,3
V218009,1-Jan,157,145,DOMESTIC SHORT HAIR,FELINE,19
V218009,1-Jan,745,482,CHIHUAHUA,CANINE,23
V218009,1-Jan,271,348,BRITTANY SPANIEL,CANINE,19
V218009,1-Jan,556,465,DOMESTIC SHORTHAIR,FELINE,5
V218009,1-Jan,231,421,BELGIAN MALINOIS,CANINE,15
V218009,1-Jan,380,129,LABRADOR RETRIEVER,CANINE,13
V218009,1-Jan,290,456,WEIMARANER,CANINE,13
V218009,1-Jan,205,480,DOMESTIC SHORTHAIR,FELINE,22
V218009,1-Jan,141,209,PIT BULL TERRIER,CANINE,15
V218009,1-Jan,434,164,PIT BULL MIX,CANINE,13
V218009,1-Jan,641,474,DOMESTIC SHORT HAIR,FELINE,20
V218009,1-Jan,812,475,ROTTWEILER MIX,CANINE,15
V218009,1-Jan,431,217,DOMESTIC SHORTHAIR,FELINE,7
V218009,1-Jan,448,278,TERRIER  BULL,CANINE,13
V218009,1-Jan,545,287,BEAGLE,CANINE,24
V218009,1-Jan,276,497,GREYHOUND,CANINE,23
V218009,1-Jan,381,316,RETRIEVER LABRADOR,DOG,21
V218009,1-Jan,743,319,GOLDEN RETRIEVER,CANINE,20
V218009,1-Jan,210,344,LONGHAIR  DOMESTIC,FELINE,4
V218009,1-Jan,299,368,DOMESTIC SHORTHAIR,CAT,15
V218009,1-Jan,146,382,AMERICAN BULLDOG,CANINE,18
V218009,1-Jan,684,418,OTHER RABBIT,RABBIT,5
V218009,1-Jan,577,196,CHOW CHOW,CANINE,9
V218009,1-Jan,504,104,AMERICAN STAFFORDSHIRE MIX,CANINE,8
V218009,1-Jan,408,377,BEAGLE,CANINE,16
V218009,1-Jan,598,305,UNKNOWN,CANINE,4
V218009,1-Jan,437,307,SIBERIAN HUSKY,CANINE,7
V218009,1-Jan,447,440,RETRIEVER  LABRADOR MIX,CANINE,19
V218009,1-Jan,723,216,OTHER BREED,CANINE,6
V218009,1-Jan,695,199,DOMESTIC LONGHAIR,FELINE,21
V218009,1-Jan,585,164,SIBERIAN HUSKY,CANINE,19
V218009,1-Jan,799,276,SHIH TZU,CANINE,12
V218009,1-Jan,377,180,BASSET HOUND,CANINE,14
V218009,1-Jan,686,230,LABRADOR MIX,CANINE,16
V218009,1-Jan,479,244,CHIHUAHUA,CANINE,14
V218009,1-Jan,600,400,POODLE,CANINE,20
V218009,1-Jan,836,243,DOMESTIC MEDIUM HAIR,FELINE,20
V218009,1-Jan,905,494,SIAMESE,FELINE,22
V218009,1-Jan,637,146,CHIHUAHUA,CANINE,12
V218009,1-Jan,615,195,DSH,FELINE,22
V218009,1-Jan,220,174,RAT TERRIER,DOG,6
V218009,1-Jan,105,315,LAB MIX,CANINE,15
V218009,1-Jan,503,141, LAB/MASTIFF,CANINE,22
V218009,1-Jan,661,231,POODLE MINIATURE MIX,CANINE,11
V218009,1-Jan,559,102,HUSKY MIX,CANINE,14
V218009,1-Jan,793,278,ABYSSINIAN MIX,FELINE,11
V218009,1-Jan,428,266,DOMESTIC SHORT HAIR,FELINE,8
V218009,1-Jan,312,160,TERRIER  JACK RUSSELL,CANINE,15
V218009,1-Jan,936,144,PITBULL-MIX,CANINE,14
V218009,1-Jan,961,493,DOMESTIC SHORTHAIR,FELINE,10
V218009,1-Jan,606,126, D.M.H.,FELINE,16
V218009,1-Jan,755,335,OTHER GUINEA PIG,GUINEAPIG,7
V218009,1-Jan,885,218,CHIHUAHUA,CANINE,17
V218009,1-Jan,803,343,BOXER,CANINE,4
V218009,1-Jan,586,295,DOMESTIC SHORTHAIR,FELINE,8
V218009,1-Jan,223,232,BULL (TERRIER),CANINE,9
V218009,1-Jan,394,357,AKITA,CANINE,24
V218009,1-Jan,499,419,DOMESTIC SHORT HAIR,FELINE,23
V218009,1-Jan,934,209,BULLDOG  OLD ENGLISH,CANINE,5
V218009,1-Jan,148,417,PITBULL MIX,CANINE,20
V218009,1-Jan,633,370,TERRIER MIX,CANINE,18
V218009,1-Jan,468,100,DOMESTIC MEDIUM HAIR,FELINE,24
V218009,1-Jan,572,340,MIXED,CANINE,13
V218009,1-Jan,725,197,POMERANIAN,CANINEGHT,17
V218009,1-Jan,667,422,CHIHUAHUA,CANINE,14
V218009,1-Jan,444,119,SHORTHAIR DOMESTIC,FELINE,16
V218009,1-Jan,859,431,BOXER,CANINE,16
V218009,1-Jan,266,367,SHORTHAIR  DOMESTIC,FELINE,22
V218009,1-Jan,277,345,DOM. LONG HAIR,FELINE,14
V218009,1-Jan,424,261,DOMESTIC MEDIUM HAIR,FELINE,15
V218009,1-Jan,846,115,BOXER,CANINE,19
V218009,1-Jan,360,392,BOXER,CANINE,24
V218009,1-Jan,193,389,COCKATOO,AVIAN,11
V218009,1-Jan,877,465,CHIHUAHUA,CANINE,16
V218009,1-Jan,639,439,DACHSHUND,CANINE,23
V218009,1-Jan,766,307,DOMESTIC LONGHAIR,FELINE,11
V218009,1-Jan,674,272,RETRIEVER GOLDEN,CANINE,18
V218009,1-Jan,206,485,13510,CANINE,22
V218009,1-Jan,951,225,RETRIEVER  LABRADOR MIX,CANINE,16
V218009,1-Jan,805,142,RETRIEVER/LAB/MIX,CANINE,14
V218009,1-Jan,922,227,SHIH TZU,CANINE,11
V218009,1-Jan,858,461, JACK RUSSELL TERRIER X POODLE,CANINE,15
V218009,1-Jan,328,189,AMERICAN BULL DOG,CANINE,11
V218009,1-Jan,622,377,LABRADOR RET MIX,CANINE,24
V218009,1-Jan,721,190,TERRIER,CANINE,8
V218009,1-Jan,567,355,GERMAN SHEPARD MIX,CANINE,17
V218009,1-Jan,462,152,TERRIER/JACK RUSSELL,CANINE,23
V218009,1-Jan,212,178,RETRIEVER  GOLDEN,CANINE,15
V218009,1-Jan,226,240,PIT BULL MIX,CANINE,12
V218009,1-Jan,574,499,COCKER SPANIEL,CANINE,7
V218009,1-Jan,126,361,ROTTWEILER SH,CANINE,16
V218009,1-Jan,980,459,DOMESTIC SHORTHAIR,FELINE,8
V218009,1-Jan,474,361,DSH,FELINE,6
V218009,1-Jan,230,275,SHIH TZU MIX,CANINE,14
V218009,1-Jan,116,390,MEDIUMHAIR  DOMESTIC,FELINE,19
V218009,1-Jan,863,246,GREAT PYRENEES MIX,CANINE,20
V218009,1-Jan,621,154,BULLDOG  ENGLISH,CANINE,17
V218009,1-Jan,826,228,SHIH TZU,CANINE,19
V218009,1-Jan,106,379,GERMAN SHEPHERD,CANINE,20
V218009,1-Jan,739,272,MINI AUSTRALIAN SHEPHERD,CANINE,16
V218009,1-Jan,419,494,JACK RUSSEL MIX,CANINE,15
V218009,1-Jan,713,403,DOMESTIC LONGHAIR,FELINE,15
V218009,1-Jan,222,282,SIBERIAN HUSKY,CANINE,23
V218009,1-Jan,662,262,ROTTWEILER,CANINE,9
V218009,1-Jan,510,129,MIXED,CANINE,20
V218009,1-Jan,883,246,HIMALAYAN,FELINE,17
V218009,1-Jan,217,130,BOXER/MIX,CANINE,24
V218009,1-Jan,211,498,RETRIEVER LABRADOR,CANINE,13
V218009,1-Jan,772,345,SHORTHAIR  DOMESTIC,FELINE,22
V218009,1-Jan,418,445,23440,CANINE,21
V218009,1-Jan,393,362,MAINE COON,FELINE,18
V218009,1-Jan,939,467,UNKNOWN,UNKNOWN,1
V218009,1-Jan,830,147,CHIHUAHUA,CANINE,18
V218009,1-Jan,717,345,COLLIE  BORDER,CANINE,10
V218009,1-Jan,601,177,SHEPHERD MIX,CANINE,23
V218009,1-Jan,239,320,DSH,FELINE,22
V218009,1-Jan,194,208,RETRIEVER  GOLDEN,CANINE,20
V218009,1-Jan,496,351,CHIHUAHUA SMOOTH,CANINE,11
V218009,1-Jan,571,190,GERMAN SHEPHERD,CANINE,22
V218009,1-Jan,335,407,MIXED,FELINE,22
V218009,1-Jan,963,429,PEKINGESE,CANINE,21
V218009,1-Jan,652,334,LANDRACE,CAPRINE,9
V218009,1-Jan,780,453,LABRADOR RETRIEVER,CANINE,11
V218009,1-Jan,391,356,DOMESTIC LONGHAIR,CAT,9
V218009,1-Jan,796,236,DACHSHUND LONGHAIR,CANINE,23
V218009,1-Jan,187,241,RETRIEVER/LABRADOR,CANINE,18
V218009,1-Jan,795,320,DACHSHUND,CANINE,18
V218009,1-Jan,522,298,SIAM MIX,FELINE,17
V218009,1-Jan,144,486,RETRIEVER LABRADOR,DOG,8
V218009,1-Jan,395,344,WEST HIGHLAND TER,CANINE,22
V218009,1-Jan,794,241,RAG DOLL,FELINE,17
V218009,1-Jan,570,205,BULLDOG  ENGLISH,CANINE,19
V218009,1-Jan,957,480,RETRIEVER  GOLDEN,CANINE,11
V218009,1-Jan,926,339,GOLDEN RETRIEVER,CANINE,19
V218009,1-Jan,443,356,WEST HIGHLAND WHITE TERRIER,CANINE,10
V218009,1-Jan,515,250,TERRIER MIX,CANINE,10
V218009,1-Jan,361,322,SHORTHAIR  DOMESTIC,FELINE,21
V218009,1-Jan,134,444,TERRIER  BOSTON,CANINE,19
V218009,1-Jan,979,467,AFFENPINSCHER,CANINE,10
V218009,1-Jan,259,447,DOMESTIC SHORTHAIR,FELINE,14
V218009,1-Jan,590,327,SPANIEL  KING CHAS.,CANINE,21
V218009,1-Jan,551,378,LAB MIX,CANINE,4
V218009,1-Jan,178,312,TERRIER BOSTON,CAT,7
V218009,1-Jan,770,277,PUG MIX,CANINE,14
V218009,1-Jan,362,448,CHIHUAHUA,CANINE,24
V218009,1-Jan,537,281,SIAMESE MIX,FELINE,12
V218009,1-Jan,280,301,GERMAN SHORTHAIR POINTER,DOG,7
V218009,1-Jan,297,312,PIT BULL MIX,CANINE,6
V218009,1-Jan,913,477,MIXED,CANINE,11
V218009,1-Jan,200,221,SHORTHAIR  DOMESTIC,FELINE,8
V218009,1-Jan,261,299,DOMESTIC SHORTHAIR,FELINE,24
V218009,1-Jan,679,136,POODLE,CANINE,14
V218009,1-Jan,579,102,SHEPHERD AUSTRALIAN,CANINE,20
V218009,1-Jan,251,300,SPANIEL BRITTANY,CANINE,5
V218009,1-Jan,719,169,DOMESTIC MEDIUM HAIR,FELINE-SPEC.,23
V218009,1-Jan,740,457,DOMESTIC SHORT HAIR,FELINE,15
V218009,1-Jan,369,305,PUG,CANINE,23
V218009,1-Jan,907,316,PITBULL,CANINE,10
V218009,1-Jan,181,455,BEAGLE MIX,CANINE,18
V218009,1-Jan,613,492,MIXED,CANINE,3
V218009,1-Jan,446,233,LAB MIX,CANINE,11
V218009,1-Jan,906,400,BEAGLE,CANINE,24
V218009,1-Jan,470,219,BLACK RUSSIAN TERRIER,CANINE,7
V218009,1-Jan,758,461,SHIH TZU,CANINE,6
V218009,1-Jan,672,386,PUG,CANINE,8
V218009,1-Jan,908,477,MINIATURE PINSCHER MIX,CANINE,10
V218009,1-Jan,175,428,LABRADOR,CANINE,9
V218009,1-Jan,865,131,JERSEY,BOVINE,3
V218009,1-Jan,147,169,SHORTHAIR  DOMESTIC,FELINE,24
V218009,1-Jan,609,144,TIBETAN SPANIEL,CANINE,11
V218009,1-Jan,473,358,RETRIEVER/LAB/MIX,CANINE,14
V218009,1-Jan,924,169,TERRIER  YORKSHIRE,CANINE,17
V218009,1-Jan,196,450,SHIH TZU,CANINE,16
V218009,1-Jan,346,446,TABBY,FELINE,9
V218009,1-Jan,174,205,HUSKY,CANINE,10
V218009,1-Jan,540,216,DOMESTIC MEDIUMHAIR,FELINE,17
V218009,1-Jan,480,381,TERRIER-YORKSHIRE,CANINE,23
V218009,1-Jan,850,314,DOMESTIC SHORTHAIR,CAT,17
V218009,1-Jan,746,282,MALAMUTE,CANINE,17
V218009,1-Jan,644,326,PITBULL TERRIER,CANINE,13
V218009,1-Jan,774,301,SNODDLE,CANINE,7
V218009,1-Jan,744,256,SCHNAUZER MINIATURE,CANINE,20
V218009,1-Jan,349,336,HEELER,CANINE,13
V218009,1-Jan,425,244,MIX  ROTTWEILER,CANINE,12
V218009,1-Jan,333,261,COCKAPOO,CANINE,12
V218009,1-Jan,569,421,ARABIAN,EQUINE,24
V218009,1-Jan,881,117,SHAR PEI  CHINESE,CANINE,12
V218009,1-Jan,632,221,PITBULL  MIXED,CANINE,12
V218009,1-Jan,558,479,LONGHAIR  DOMESTIC,FELINE,9
V218009,1-Jan,319,106,YORKSHIRE TERRIER,CANINE,8
V218009,1-Jan,363,157,PEKINGESE,DOG,18
V218009,1-Jan,707,221,LABRADOR RETRIEVER,CANINE,18
V218009,1-Jan,517,158,DOMESTIC SHORT HAIR,FELINE,3
V218009,1-Jan,392,436,LAB MIX,CANINE,19
V218009,1-Jan,184,417,PAPILLON,CANINE,20
V218009,1-Jan,170,304,SHIH TZU MIX,CANINE,11
V218009,1-Jan,101,391,GREAT PYRENEES MIX,CANINE,22
V218009,1-Jan,464,428,MIX  GERMAN SHEPHERD,CANINE,23
V218009,1-Jan,130,494,DOMESTIC SHORT HAIR,FELINE,16
V218009,1-Jan,438,298,POODLE  MINIATURE,CANINE,11
V218009,1-Jan,300,379,BOXER MIX,CANINE,18
V218009,1-Jan,169,492,DACHSHUND MINIATURE,CANINE,21
V218009,1-Jan,189,139,RETRIEVER  LABRADOR,CANINE,17
V218009,1-Jan,113,192,RETRIEVER  GOLDEN,CANINE,11
V218009,1-Jan,941,117,DOMESTIC SHORTHAIR,FELINE,8
V218009,1-Jan,267,320,MIXED,CANINE,11
V218009,1-Jan,955,453,GOLDEN RETRIEVER,CANINE,17
V218009,1-Jan,857,352,DOMESTIC SHORT HAIR,FELINE,16
V218009,1-Jan,920,397,OTHER CANINE,CANINE,13
V218009,1-Jan,500,495,PERSIAN,CAT,8
V218009,1-Jan,108,193,FRENCH BRITTNEY,CANINE,14
V218009,1-Jan,302,448,LABRADOR RETREIVER,CANINE,17
V218009,1-Jan,584,427,BORDER COLLIE,CANINE,22
V218009,1-Jan,516,485,DLH,FELINE,19
V218009,1-Jan,950,281, SHIH TZU,CANINE,14
V218009,1-Jan,483,352,CHIHUAHUA,CANINE,11
V218009,1-Jan,631,160,TRAKEHNER,EQUINE,13
V218009,1-Jan,429,179,BEAGLE,CANINE,4
V218009,1-Jan,258,327,YORKSHIRE TERRIER,CANINE - DOGS,20
V218009,1-Jan,507,294,THOROUGHBRED,EQUINE,15
V218009,1-Jan,414,185,LABRADOR RETRIEVER,CANINE,10
V218009,1-Jan,163,355,24970,CANINE,21
V218009,1-Jan,482,389,SPANIEL  CAVALIER KING CHARLES,CANINE,14
V218009,1-Jan,316,419,SHEPHERD,CANINE,5
V218009,1-Jan,315,239,AUST SHEPHERD,CANINE,5
V218009,1-Jan,403,390,SIAMESE,FELINE,22
V218009,1-Jan,838,412,PEKINGESE MIX,CANINE,12
V218009,1-Jan,303,130,BOXER,CANINE,8
V218009,1-Jan,495,475,OTHER SMALL,OTHER SMALL,12
V218009,1-Jan,659,359,DOMESTIC SHORTHAIR,FELINE,8
V218009,1-Jan,817,250,DOMESTIC SHORTHAIR,FELINE,20
V218009,1-Jan,284,315,ST. BERNARD,CANINE,22
V218009,1-Jan,634,409,CHIHUAHUA MIX,CANINE,16
V218009,1-Jan,946,216,CHIHUAHUA,CANINE,3
V218009,1-Jan,269,186,BURMESE,FELINE,20
V218009,1-Jan,620,371,BULLDOG  ENGLISH,CANINE,19
V218009,1-Jan,768,162,DOMESTIC SHORT HAIR,FELINE,20
V218009,1-Jan,228,370,DSH,FELINE,22
V218009,1-Jan,373,183,LABRADOR RET MIX,CANINE,15
V218009,1-Jan,724,388,DOMESTIC SHORT HAIR,FELINE,7
V218009,1-Jan,531,195,LABORADOR RETRIEVER,CANINE,10
V218009,1-Jan,388,140,SPANIEL  ENGLISH SPRINGER,CANINE,8
V218009,1-Jan,702,488,PIGEON,AVIAN,16
V218009,1-Jan,244,438,HAVANESE,CANINE,10
V218009,1-Jan,219,128,DSH,FELINE,12
V218009,1-Jan,171,225,POMERANIAN,CANINE,11
V218009,1-Jan,756,326,YORKSHIRE TERRIER,CANINE,17
